"Date","Region","Station Name","Mode of Transport","Station Name","Utility","Sector","Capacity","Normative Stocks Required (In Days)","Daily Requirement","Actual Stock - Import","Actual Stock - Indigenous","Actual Stock - Total","Actual Stock - Days","Critical","Super Critical","Remarks"
2008-11-01,"NORTHERN","DELHI","RAIL","I.P.  T.P.S.","INDRAPRASTHA  POWER GENERATION COMPANY LIMITED","STATE",247.5,25,3.2,0,36.52,36.52,12,NA,NA,NA
2008-11-01,"NORTHERN","DELHI","RAIL","RAJGHAT TPS","INDRAPRASTHA  POWER GENERATION COMPANY LIMITED","STATE",135,25,2.2,0,22.21,22.21,10,NA,NA,NA
2008-11-01,"NORTHERN","DELHI","RAIL","BADARPUR TPS","NTPC LIMITED.","CENTRAL",705,30,14.2,0,14.16,14.16,1,"Critical","Super Critical","Less Receipt-MCL Ib"
2008-11-01,"NORTHERN","PUNJAB","RAIL","GH TPS (LEH.MOH.)","PUNJAB STATE POWER CORP. LTD.","STATE",920,30,15.8,0,79.43,79.43,5,"Critical",NA,NA
2008-11-01,"NORTHERN","PUNJAB","RAIL","GND TPS(BHATINDA)","PUNJAB STATE POWER CORP. LTD.","STATE",440,30,8.2,0,27.1,27.1,3,"Critical","Super Critical","Less Receipt-MCL Ib"
2008-11-01,"NORTHERN","PUNJAB","RAIL","ROPAR TPS","PUNJAB STATE POWER CORP. LTD.","STATE",1260,30,20.8,0,43.29,43.29,2,"Critical","Super Critical","Less Receipt-MCL Ib"
2008-11-01,"NORTHERN","RAJASTHAN","RAIL","KOTA TPS","RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",1240,30,21,0,84.96,84.96,4,"Critical",NA,"Less Receipt-MCL Ib"
2008-11-01,"NORTHERN","RAJASTHAN","RAIL","SURATGARH TPS","RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",1500,30,24,26.81,36.84,63.65,3,"Critical","Super Critical","Less Receipt-MCL Ib"
2008-11-01,"NORTHERN","UTTAR PRADESH","PITHEAD","ANPARA TPS","UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",1630,15,25.8,0,70.8,70.8,3,"Critical","Super Critical","Less Receipt-MCL Ib"
2008-11-01,"NORTHERN","UTTAR PRADESH","RAIL","HARDUAGANJ TPS","UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",665,25,2.8,0,19.86,19.86,7,NA,NA,NA
2008-11-01,"NORTHERN","UTTAR PRADESH","RAIL","OBRA TPS","UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",1278,20,15.3,0,20.23,20.23,1,"Critical","Super Critical","Less Receipt-MCL Ib"
2008-11-01,"NORTHERN","UTTAR PRADESH","RAIL","PANKI TPS","UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",210,30,3.3,0,5.79,5.79,2,"Critical","Super Critical","Less Receipt-MCL Ib"
2008-11-01,"NORTHERN","UTTAR PRADESH","RAIL","PARICHHA TPS","UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",1140,30,9.8,0,21.5,21.5,2,"Critical","Super Critical","Less Receipt-MCL Ib"
2008-11-01,"NORTHERN","UTTAR PRADESH","RAIL","DADRI (NCTPP)","NTPC LIMITED.","CENTRAL",1820,30,14.2,0,62.89,62.89,4,"Critical",NA,"Less Receipt-MCL Ib"
2008-11-01,"NORTHERN","UTTAR PRADESH","PITHEAD","RIHAND STPS","NTPC LIMITED.","CENTRAL",3000,15,34,0,15.04,15.04,0,"Critical","Super Critical","Less Receipt-MCL Ib"
2008-11-01,"NORTHERN","UTTAR PRADESH","PITHEAD","SINGRAULI STPS","NTPC LIMITED.","CENTRAL",2000,15,32,0,4.16,4.16,0,"Critical","Super Critical","Less Receipt-MCL Ib"
2008-11-01,"NORTHERN","UTTAR PRADESH","RAIL","TANDA TPS","NTPC LIMITED.","CENTRAL",440,25,7.3,0,31.86,31.86,4,"Critical",NA,"Less Receipt-MCL Ib"
